date,symbol,sector,action,price,shares,notional,position_shares_after,position_value_after,cash_after,total_equity_after,rsi,rsi_signal
2023-09-08,OZON,Information technology,buy,2739.0,28,76774.13,592.62,1623185.89,307096.53,1930282.41,16.02,buy
2023-09-08,SBER,Finance,buy,255.68,111,28408.64,7017.77,1794303.35,113634.56,1907937.91,11.88,buy
2023-09-11,OZON,Information technology,buy,2607.0,24,61419.31,616.18,1606379.37,245677.22,1852056.59,6.23,buy
2023-09-11,RTGZ,Rosneft Oil Company,buy,37700.0,2,62306.16,37.56,1416126.96,249224.64,1665351.59,26.16,buy
2023-09-11,SBER,Finance,buy,256.25,89,22726.91,7106.46,1821030.39,90907.65,1911938.03,18.71,buy
2023-09-14,RTGZ,Rosneft Oil Company,buy,36700.0,1,49844.93,38.92,1428408.83,199379.71,1627788.54,21.81,buy
2023-09-15,RTGZ,Rosneft Oil Company,buy,36700.0,1,39875.94,40.01,1468284.78,159503.77,1627788.54,21.81,buy
2023-09-18,RTGZ,Rosneft Oil Company,buy,36200.0,1,31900.75,40.89,1480181.65,127603.01,1607784.66,16.9,buy
2023-09-19,RTGZ,Rosneft Oil Company,buy,36100.0,1,25520.6,41.6,1501613.35,102082.41,1603695.77,15.9,buy
2023-09-19,SBER,Finance,buy,252.72,72,18181.53,7178.4,1814126.11,72726.12,1886852.23,20.26,buy
2023-09-20,OZON,Information technology,buy,2600.0,19,49135.44,635.08,1651201.56,196541.78,1847743.33,25.03,buy
2023-09-20,RTGZ,Rosneft Oil Company,buy,35600.0,1,20416.48,42.17,1501231.87,81665.93,1582897.8,11.24,buy
2023-09-20,SBER,Finance,buy,253.77,57,14545.22,7235.72,1836208.66,58180.89,1894389.55,29.02,buy
2023-09-21,OZON,Information technology,buy,2479.5,16,39308.36,650.93,1613983.07,157233.42,1771216.49,13.97,buy
2023-09-21,RTGZ,Rosneft Oil Company,buy,35500.0,0,16333.19,42.63,1513348.11,65332.74,1578680.85,10.38,buy
2023-09-21,SBER,Finance,buy,250.16,47,11636.18,7282.23,1821723.89,46544.72,1868268.6,18.98,buy
2023-09-22,RTGZ,Rosneft Oil Company,buy,34300.0,0,13066.55,43.01,1475259.23,52266.19,1527525.42,4.57,buy
2023-09-25,RTGZ,Rosneft Oil Company,buy,34400.0,0,10453.24,43.31,1490013.52,41812.96,1531826.47,10.42,buy
2023-09-26,RTGZ,Rosneft Oil Company,buy,34400.0,0,8362.59,43.56,1498376.11,33450.36,1531826.47,10.42,buy
2023-09-27,RTGZ,Rosneft Oil Company,buy,34100.0,0,6690.07,43.75,1491998.95,26760.29,1518759.24,7.66,buy
2023-09-28,RTGZ,Rosneft Oil Company,buy,34300.0,0,5352.06,43.91,1506101.73,21408.23,1527509.96,25.98,buy
2023-09-28,SBER,Finance,sell,257.67,73,18764.13,7209.41,1857649.34,65308.85,1922958.19,73.94,sell
2023-09-29,SBER,Finance,sell,260.72,72,18796.38,7137.32,1860841.67,84105.23,1944946.9,84.74,sell
2023-10-03,RTGZ,Rosneft Oil Company,buy,34000.0,0,4281.65,44.04,1497210.48,17126.59,1514337.06,25.67,buy
2023-10-06,SBER,Finance,sell,262.93,71,18766.15,7065.95,1857848.99,102871.38,1960720.37,85.65,sell
2023-10-09,RTGZ,Rosneft Oil Company,sell,34900.0,0,15368.43,43.6,1521474.09,32495.01,1553969.11,70.23,sell
2023-10-09,SBER,Finance,sell,265.25,71,18742.42,6995.29,1855499.56,121613.8,1977113.36,90.81,sell
2023-10-10,OZON,Information technology,sell,2720.0,7,17705.32,644.42,1752826.62,174938.74,1927765.36,84.72,sell
2023-10-10,RTGZ,Rosneft Oil Company,sell,35300.0,0,15389.12,43.16,1523523.07,47884.13,1571407.2,79.48,sell
2023-10-11,RTGZ,Rosneft Oil Company,sell,35200.0,0,15192.07,42.73,1504015.07,63076.21,1567091.27,71.69,sell
2023-10-13,OZON,Information technology,sell,2728.0,6,17579.82,637.98,1740402.17,192518.56,1932920.73,71.96,sell
2023-10-16,OZON,Information technology,sell,2739.5,6,17477.39,631.6,1730261.52,209995.95,1940257.47,75.41,sell
2023-10-16,RTGZ,Rosneft Oil Company,sell,35400.0,0,15125.61,42.3,1497435.0,78201.81,1575636.81,71.11,sell
2023-10-16,SBER,Finance,sell,268.15,70,18757.86,6925.33,1857028.03,140371.66,1997399.69,76.59,sell
2023-10-17,OZON,Information technology,sell,2738.0,6,17293.14,625.28,1712020.99,227289.09,1939310.08,73.75,sell
2023-10-17,SBER,Finance,sell,270.0,69,18698.4,6856.08,1851141.5,159070.06,2010211.56,81.28,sell
2023-10-19,OZON,Information technology,sell,2783.0,6,17401.59,619.03,1722757.07,244690.68,1967447.75,85.36,sell
2023-10-20,SBER,Finance,sell,269.8,69,18497.7,6787.52,1831272.58,177567.76,2008840.34,72.21,sell
2023-10-23,SBER,Finance,sell,270.1,68,18333.09,6719.64,1814975.75,195900.85,2010876.6,74.0,sell
2023-10-24,SBER,Finance,sell,271.27,67,18228.38,6652.45,1804609.35,214129.23,2018738.58,80.74,sell
2023-10-25,SBER,Finance,sell,273.73,67,18209.74,6585.92,1802764.63,232338.97,2035103.6,89.08,sell
2023-10-26,OZON,Information technology,buy,2691.5,18,48938.14,637.21,1715054.07,195752.54,1910806.62,29.96,buy
2023-10-27,OZON,Information technology,buy,2680.0,15,39150.51,651.82,1746876.65,156602.03,1903478.69,25.96,buy
2023-10-30,OZON,Information technology,buy,2646.5,12,31320.41,663.65,1756361.1,125281.63,1881642.73,16.81,buy
2023-10-31,OZON,Information technology,buy,2598.0,10,25056.33,673.3,1749230.19,100225.3,1849455.5,9.8,buy
2023-11-01,OZON,Information technology,buy,2616.0,8,20045.06,680.96,1781394.63,80180.24,1861574.87,25.86,buy
2023-11-01,RTGZ,Rosneft Oil Company,buy,34100.0,0,15640.36,42.76,1458084.81,62561.45,1520646.26,17.59,buy
2023-11-06,SBER,Finance,sell,273.42,66,18007.23,6520.06,1782715.76,250346.2,2033061.97,79.07,sell
2023-11-07,OZON,Information technology,sell,2675.0,7,18215.71,674.15,1803355.63,98395.95,1901751.59,71.48,sell
2023-11-07,SBER,Finance,sell,273.31,65,17819.99,6454.86,1764178.57,268166.19,2032344.76,77.42,sell
2023-11-08,OZON,Information technology,sell,2678.5,7,18057.15,667.41,1787658.01,116453.11,1904111.12,73.09,sell
2023-11-08,SBER,Finance,sell,278.15,65,17954.2,6390.31,1777465.91,286120.39,2063586.3,90.09,sell
2023-11-09,OZON,Information technology,sell,2681.0,7,17893.27,660.74,1771433.27,134346.37,1905779.64,74.53,sell
2023-11-09,RTGZ,Rosneft Oil Company,buy,33600.0,0,12512.29,43.13,1449217.56,50049.16,1499266.72,11.88,buy
2023-11-09,SBER,Finance,sell,276.65,64,17678.8,6326.41,1750201.63,303799.19,2054000.82,72.45,sell
2023-11-10,SBER,Finance,sell,280.19,63,17725.97,6263.15,1754871.15,321525.16,2076396.32,83.27,sell
2023-11-13,SBER,Finance,sell,283.97,63,17785.46,6200.52,1760760.39,339310.62,2100071.01,89.46,sell
