symbol,name,source,currency,date,open_price,high_price,low_price,close_price,volume,created_at
BTC-USD,Bitcoin,unknown,USD,2019-12-21,7220.59,7223.23,7112.74,7191.16,19312552168.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2019-12-22,7191.19,7518.03,7167.18,7511.59,23134537956.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2019-12-23,7508.9,7656.18,7326.19,7355.63,27831788041.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2019-12-24,7354.39,7535.72,7269.53,7322.53,22991622105.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2019-12-25,7325.76,7357.02,7220.99,7275.16,21559505149.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2019-12-26,7274.8,7388.3,7200.39,7238.97,22787010034.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2019-12-27,7238.14,7363.53,7189.93,7290.09,22777360996.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2019-12-28,7289.03,7399.04,7286.91,7317.99,21365673026.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2019-12-29,7317.65,7513.95,7279.87,7422.65,22445257702.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2019-12-30,7420.27,7454.82,7276.31,7293.0,22874131672.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2019-12-31,7294.44,7335.29,7169.78,7193.6,21167946112.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-01,7194.89,7254.33,7174.94,7200.17,18565664997.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-02,7202.55,7212.16,6935.27,6985.47,20802083465.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-03,6984.43,7413.72,6915.0,7344.88,28111481032.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-04,7345.38,7427.39,7309.51,7410.66,18444271275.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-05,7410.45,7544.5,7400.54,7411.32,19725074095.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-06,7410.45,7781.87,7409.29,7769.22,23276261598.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-07,7768.68,8178.22,7768.23,8163.69,28767291327.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-08,8161.94,8396.74,7956.77,8079.86,31672559265.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-09,8082.3,8082.3,7842.4,7879.07,24045990466.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-10,7878.31,8166.55,7726.77,8166.55,28714583844.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-11,8162.19,8218.36,8029.64,8037.54,25521165085.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-12,8033.26,8200.06,8009.06,8192.49,22903438381.0,2025-08-15 01:18:52
BTC-USD,Bitcoin,unknown,USD,2020-01-13,8189.77,8197.79,8079.7,8144.19,22482910688.0,2025-08-15 01:18:52
