date,symbol,sector,action,price,shares,notional,position_shares_after,position_value_after,cash_after,total_equity_after,rsi_6,rsi_6_signal,rsi_12,rsi_12_signal,rsi_24,rsi_24_signal
2023-04-27,KRSB,Electric Power,sell,14.05,813.0,11424.88,80502.73,1131063.35,487212.2,1618275.54,94.14,sell,84.71,sell,79.63,sell
2023-04-27,MRKV,Electric Power,sell,0.04,221517.0,8860.7,21930229.24,877209.17,442424.8,1319633.97,74.31,sell,76.37,sell,76.3,sell
2023-04-28,KRSB,Electric Power,sell,13.85,805.0,11149.63,79697.7,1103813.17,498361.83,1602175.0,76.76,sell,75.88,sell,74.93,sell
2023-05-02,KRSB,Electric Power,sell,14.3,797.0,11396.77,78900.72,1128280.37,509758.6,1638038.96,85.31,sell,81.12,sell,78.09,sell
2023-05-03,KRSB,Electric Power,sell,14.34,789.0,11314.36,78111.72,1120122.03,521072.96,1641194.99,85.95,sell,81.54,sell,78.36,sell
2023-05-03,MRKV,Electric Power,buy,0.04,2212124.0,88484.96,24142353.25,965694.13,353939.84,1319633.97,29.6,buy,41.6,hold,50.27,hold
2023-05-04,KRSB,Electric Power,sell,14.01,781.0,10943.45,77330.6,1083401.71,532016.41,1615418.13,57.1,hold,66.98,hold,70.72,sell
2023-05-08,MRKV,Electric Power,buy,0.04,1769699.0,70787.97,25912052.46,1036482.1,283151.87,1319633.97,29.34,buy,40.48,hold,48.99,hold
2023-05-10,KRSB,Electric Power,sell,14.63,773.0,11313.47,76557.29,1120033.22,543329.88,1663363.1,76.84,sell,73.32,sell,72.79,sell
2023-05-11,KRSB,Electric Power,sell,14.96,766.0,11452.97,75791.72,1133844.16,554782.85,1688627.01,82.75,sell,77.31,sell,75.13,sell
2023-05-11,MRKV,Electric Power,sell,0.04,259121.0,10364.82,25652931.94,1026117.28,293516.69,1319633.97,70.13,sell,59.79,hold,58.87,hold
2023-05-12,KRSB,Electric Power,sell,14.96,758.0,11338.44,75033.8,1122505.71,566121.29,1688627.01,82.75,sell,77.31,sell,75.13,sell
2023-05-15,KRSB,Electric Power,sell,14.84,750.0,11135.02,74283.47,1102366.64,577256.31,1679622.95,70.01,sell,71.85,sell,72.45,sell
2023-05-16,KRSB,Electric Power,sell,14.96,743.0,11112.81,73540.63,1100167.85,588369.12,1688536.97,75.33,sell,74.02,sell,73.48,sell
2023-05-17,KRSB,Electric Power,sell,14.99,735.0,11023.74,72805.23,1091350.33,599392.86,1690743.18,76.77,sell,74.6,sell,73.75,sell
2023-05-18,KRSB,Electric Power,sell,15.11,728.0,11000.87,72077.17,1089086.09,610393.73,1699479.81,82.5,sell,77.02,sell,74.85,sell
2023-05-19,KRSB,Electric Power,sell,15.12,721.0,10898.07,71356.4,1078908.79,621291.79,1700200.58,82.99,sell,77.23,sell,74.94,sell
