date,symbol,sector,action,price,shares,notional,realized_pnl,cumulative_realized_pnl,avg_cost_per_share,position_shares_after,position_value_after,cash_after,equity_after
2022-09-21,MRKV,Electric Power,buy,0.03,2400236,72007.07,0.0,-9.21,0.03,23732391,711971.74,288028.26,1000000.0
2022-09-22,MRKV,Electric Power,buy,0.03,1920188,57605.65,0.0,-9.21,0.03,25652580,769577.39,230422.61,1000000.0
2022-09-23,MRKV,Electric Power,buy,0.03,1536151,46084.52,0.0,-9.21,0.03,27188730,815661.91,184338.09,1000000.0
2022-09-26,MRKV,Electric Power,buy,0.02,1843381,36867.62,0.0,-9.21,0.03,29032111,580642.23,147470.47,728112.7
2022-09-27,MRKV,Electric Power,buy,0.02,1474705,29494.09,0.0,-9.21,0.03,30506816,610136.32,117976.38,728112.7
2022-09-28,MRKV,Electric Power,buy,0.02,1179764,23595.28,0.0,-9.21,0.03,31686580,633731.59,94381.1,728112.7
2022-09-29,MRKV,Electric Power,buy,0.02,943811,18876.22,0.0,-9.21,0.03,32630391,652607.82,75504.88,728112.7
2022-09-30,MRKV,Electric Power,buy,0.02,755049,15100.98,0.0,-9.21,0.03,33385440,667708.79,60403.9,728112.7
2022-10-07,MRKV,Electric Power,buy,0.02,604039,12080.78,0.0,-9.21,0.03,33989479,679789.57,48323.12,728112.7
2022-10-13,MRKV,Electric Power,sell,0.02,339895,6797.9,-2078.84,-2088.05,0.03,33649584,672991.68,55121.02,728112.7
2022-10-21,MRKV,Electric Power,buy,0.02,551210,11024.2,0.0,-2088.05,0.03,34200794,684015.88,44096.82,728112.7
2022-11-01,MRKV,Electric Power,sell,0.02,342008,6840.16,-2026.67,-4114.72,0.03,33858786,677175.72,50936.97,728112.7
2022-11-02,MRKV,Electric Power,sell,0.02,338588,6771.76,-2006.4,-6121.13,0.03,33520198,670403.96,57708.73,728112.7
2022-11-07,MRKV,Electric Power,sell,0.02,335202,6704.04,-1986.34,-8107.46,0.03,33184996,663699.92,64412.77,728112.7
2022-11-23,MRKV,Electric Power,sell,0.03,331850,9955.5,1351.69,-6755.77,0.03,32853146,985594.39,74368.27,1059962.66
2022-11-24,MRKV,Electric Power,sell,0.03,328531,9855.94,1338.17,-5417.6,0.03,32524615,975738.44,84224.21,1059962.66
2022-11-25,MRKV,Electric Power,sell,0.03,325246,9757.38,1324.79,-4092.81,0.03,32199369,965981.06,93981.6,1059962.66
2022-11-28,MRKV,Electric Power,sell,0.03,321994,9659.81,1311.55,-2781.26,0.03,31877375,956321.25,103641.41,1059962.66
2022-11-29,MRKV,Electric Power,sell,0.03,318774,9563.21,1298.43,-1482.83,0.03,31558601,946758.04,113204.62,1059962.66
2022-11-30,MRKV,Electric Power,sell,0.03,315586,9467.58,1285.45,-197.38,0.03,31243015,937290.46,122672.2,1059962.66
2022-12-01,MRKV,Electric Power,sell,0.03,312430,9372.9,1272.59,1075.21,0.03,30930585,927917.55,132045.11,1059962.66
2022-12-02,MRKV,Electric Power,sell,0.03,309306,9279.18,1259.87,2335.08,0.03,30621279,918638.38,141324.28,1059962.66
2022-12-06,MRKV,Electric Power,buy,0.03,942162,28264.86,0.0,2335.08,0.03,31563441,946903.23,113059.43,1059962.66
2022-12-07,MRKV,Electric Power,buy,0.03,753730,22611.89,0.0,2335.08,0.03,32317171,969515.12,90447.54,1059962.66
2022-12-08,MRKV,Electric Power,buy,0.03,602984,18089.51,0.0,2335.08,0.03,32920154,987604.63,72358.03,1059962.66
2022-12-09,MRKV,Electric Power,buy,0.02,723580,14471.61,0.0,2335.08,0.03,33643735,672874.69,57886.43,730761.12
2022-12-16,MRKV,Electric Power,sell,0.03,336437,10093.12,1270.43,3605.51,0.03,33307297,999218.92,67979.55,1067198.46
2022-12-19,MRKV,Electric Power,sell,0.03,333073,9992.19,1257.73,4863.24,0.03,32974224,989226.73,77971.74,1067198.46
2022-12-27,MRKV,Electric Power,sell,0.03,329742,9892.27,1245.15,6108.4,0.03,32644482,979334.46,87864.0,1067198.46
2023-01-03,MRKV,Electric Power,sell,0.03,326445,9793.34,1232.7,7341.1,0.03,32318037,969541.11,97657.35,1067198.46
2023-01-04,MRKV,Electric Power,sell,0.03,323180,9695.41,1220.37,8561.47,0.03,31994857,959845.7,107352.76,1067198.46
2023-01-05,MRKV,Electric Power,sell,0.03,319949,9598.46,1208.17,9769.65,0.03,31674908,950247.25,116951.22,1067198.46
2023-01-09,MRKV,Electric Power,sell,0.03,316749,9502.47,1196.09,10965.74,0.03,31358159,940744.77,126453.69,1067198.46
